Text,Score
love the sauce. excellent for making shrimp sweet and sour recipe. i am pleased that amazon carries this product. would definitely buy again.,5
I was hoping these would be better than chocolate Twizzlers but they taste like something entirely different.  Maybe its just me and they will appeal to others.  They do not taste like chocolate at least not to to me!  The service was great I got them in 48 hours. Kenny I am sure your other flavors are good - they just do not compare to the name brand or my tastes!,2
I love this product but you have to be aware that it is fatally toxic to dogs.  Don't make cookies or something and let them get to it.<br /><br />This price looks especially great in this 5 lb pack--less than $5/pound.{plus shipping},5
"These taste like cookies, but they're not overly unhealthy for you.  The best part is that each package is only 100 calories.  If you typically eat healthy food, they will feel like a treat, but compared to, say, a milkshake, you're not going to be impressed.<br /><br />I like keeping one of these in my purse or my car if I need something sweet but don't want to overindulge.",5
"I have long been a fan of the Tully Kona Blend coffee. I was disappointed when my local retailer quit selling Kona products!<br /><br />I actually ordered this house blend by accident, thinking that I was ordering the Kona Blend. I had more than 4 cups of coffee before I noticed on the packaging that it said House Blend instead of Kona Blend. I would not have known that it was not the Kona Blend had I not seen the packaging. One caveat: I make ""lattes"" by adding an equal amount of steamed milk to my coffee, so the coffee flavor is probably diluted for me.  Someone drinking it straight up may notice a difference in the flavor.<br /><br />My bottom line is that it is much less expensive than the Kona Blend, due to vendor and shipping costs, and it is more than good enough for me.  I've since ordered another box.",5
received product promptly on time and in good order. i need a bunch of sour cream to put this order in order.a bag of dorito's are in additional order. watching tv with a bag of chips and plenty of dip is a good thing.,5
"I've had Creme Brulee in restaurants before and always thought it was a take or leave it dessert. Tonight, I had some of the Dean Jacob's Creme Brulee at a friend's house and am now addicted! This is a must have because it saves time and energy for just a few dollars! I would have never known this was from a mix!",5
"I love these potato chips.  I've been eating Season's potato chips for years.  When I buy the unsalted ones, I add a little salt on my own.  They're cooked with peanut oil, which doesn't leave the slight aftertaste that many oils other than this and canola oil do, in my experience. These chips have a great mouth 'feel',light and crisp, not too hard or crunchy.  I highly recommend giving them a try.",5
"I have 2 Pomeranians that both ADORE this food! They never get tired of it. Both the canned and the dry dog food, particularly the Chicken and Rice, are excellent. You can see the pieces of rice, and it doesn't smell offensive like some of the other canned dog foods. I notice their nails and coats are strong and healthy, too! This is the BEST dog food! And trust me, I've tried many... A++++ for Canidae! The only drawback is shipping cost... If anyone knows where they offer free shipping, please let me know :) THANKS!",5
Be warned - if you are looking for real tea with balck current - this is not it,3
"I haven't really found a good SF chocolate syrup yet.  The Torani is miles better than Hershey's SF chocolate syrup, though.<br /><br />This syrup is okay, especially in iced coffee or added to a something that needs a ""boost"" like plain vanilla pudding, protein shakes or low-fat brownies.  It doesn't have a strong chocolate flavor, but it is pleasantly sweet.  I couldn't taste any strong chemical after taste, like I can with some other SF chocolate products.  Not enough to satisfy a real chocoholic, but not bad, either.  I'm gonna keep looking for a really tasty SF chocolate syrup.",3
I have tried the Chocolate and Vanilla and just love the Chocloate the best.  I didn't care to much for the Vanilla.,5
"Product arrived very timely and well packed, with a generous (may 2008) use by date. Customer service from supplier was excellent.",5
"I don't buy these because they are organic, I buy them because they taste SO good! My favorite is the Vanilla Bean with Green Tea. They taste much better than Oreos. The cookie part is softer and these don't leave a shortening-greasy film/taste in your mouth. These taste like cookies from when I was a kid; no chemicals.<br /><br />If you've never had the Late July cookies before, give them a try. Yummy!",5
"I have tried many OOlong teas and this is by far the best.  It has a wonderfully light coconut, mango flavor.  The two flavors blend well together, neither one overpowering the other.  I will definitely buy again.",5
"I had no problems with their unusual cups working in the Kuerig.  The coffee was good, nothing remarkable but enjoyable.  I do plan to try some of the other San Francisco blends.  It's certainly worth a try.",3
"My mixed terrier is very particular about her treats. If she doesn't like it, she'll take it, then drop it. If she likes it (rare), she'll take it and eat it right on the spot. If she loves it (very rare), she'll take it, hide it, and then act paranoid that you saw her hide it. So then she'll go get it and re-hide it multiple times until she's satisfied that you're not spying on her with a secret wish to devour  it the moment she blinks. Then she'll sneak it out once most of the family has gone to sleep so she can savor it in peace. So I can't really tell you where today's Lamb Trachey Chewz treat went, but I can be certain she loves it! Thanks to Clear Conscience Pet for producing a healthy, greatly desired treat!",5
"I have been looking for a good, organic tea but I just did not like the taste of this one.  It feels like it leaves a film in your mouth.",2
This coconut water taste so bad...never try this product again...!!! Shared this coconut water with family members they also return it back to me after their first zip...,1
"This is the first time I tried Octavia White Tea.  After I opened the can, it looked O.K.  The whole leaves looked fairly fresh.  However, as I consumed about one third of the can, I started to see significant amount of yellowish chips and tiny flowers.  In addition, more broken tea leaves were found deeper in the can.<br /><br />I then poured out the entire can of white tea leaves to examine.  I was surprised to see how much impurities were buried in the tea leaves.<br /><br />To be honest, I have not seen that much impurities in a whole leaf tea of any kind (white, green, or black). To me, the tea farm did not do a good job in handling the tea leaves.  I would strongly question the claim of USDA Organic rating of this tea.<br /><br />If you never tried white teas before, please do not assume that the yellowish flowers and chips are part of the white tea.  They are not since this tea is Silver Needle.<br /><br />I had to remove all the impurities by hand-picking all the whole tea leaves and discarding the broken ones and the yellow flowers and chips.  I still question how this tea could be so badly handled by the tea farmer or the tea exporter/importer.<br /><br />I am sure there are better white teas out there.  Tea lovers should share more information on their findings on the many different brands.",2
"Although this product is a little pricey... It is SO WORTH IT! Prepare to fall in love! First tried it on toast... ummm! Then followed a dollop on ice cream... yummy!  My husband stopped me before I indulged beyond the point of no return, AKA not saving him any! I bought these to have on hand for the holidays...looks like I'll need to re-order! This Granite Bay Farms duo of Pecan Pumpkin Butter and Old Fashioned Apple Butter is almost too good to share - but I will! Do not hesitate to indulge in a special treat for yourself!",5
"Milkbone Original Crunchy Treats / B000EBKSCU<br /><br />My puppy just loves these Milkbone treats. Though the box says ""Great for Training"", they are a bit too big for proper treat training (which involves slicing the treats very thinly so that the dog doesn't get satiated or fattened up) because the treats are very hard and cannot be easily sliced into smaller pieces.<br /><br />However, they are uniquely good for training ""Leave It!"" - I can drop it on the floor and the puppy immediately notices the smell and comes over to investigate. And if he decides to ignore my ""Leave It!"" command, the treat is big enough and hard enough that it survives in his mouth long enough for my to reach in and grab it and start over - no rewards for ignoring ""Leave It!"", or he'll ignore it always. After only a few weeks of training, ""Leave It!"" is well-understood and almost always obeyed, thanks to these yummy Milkbones.<br /><br />Also, since these are larger and more satisfying that his usual treats, he also gets these at crate time. When Mommy says ""Crate!"" that means he snuggles into his crate and waits anxiously for his Milkbone treats. He absolutely adores them, and loves gobbling them up happily.<br /><br />These came carefully packed from Amazon with no shipping problems. The bulk price on Amazon is much cheaper than anything I've found locally and much more convenient.<br /><br />~ Ana Mardoll",5
"Flaxseed is healthy -- but blessedly, it is also tasty.  My daughter is allergic so I substitute this product to give a nut-esque taste to fools.  I use this 'meel' to bread chicken (pound filets of chicken breasts then dip them in combo of this flaxseed, smoked paprika and salt and fry it up in a pan with safflower or coconut oil) and can make dinner fast and healthy -- and actually see it enter my children's mouths without a struggle.<br /><br />Now, if Spectrum could throw some kale 'meel' into this formula....<br /><br />As for storage, this resealable package actually does reseal which is awesome.",5
This one is not the recent style. But still good. Will not recommend this one since the new one is better. Thanks!,3
"I recently bought a 7-week-old collie puppy for my granddaughter. Joy, the puppy was taken from her mother at 2 weeks along with 9 siblings because the mother was not producing enough milk. It was the mother's first litter. The pups were hand fed a formula and were a bit small and frail for their ages though their price was not. At any rate the breeder had them on Pedigree puppy food when we purchased her and though their is nothing wrong with the brand I wanted something better for her due to her early weaning. Our 2-year-old Labradoodle is fed ""Castor & Pollux"" which really improved her coat and stamina etc. when we switched from another brand so I bought Puppy food in the same brand. However our Vet told us that she was unfamiliar with the brand, and that she wouldn't feed it to her. Instead she recommended ""Purina One Smart Blend Puppy Formula"". I of course ordered a bag and stated mixing it with the Pedigree to switch Joy over slowly so as not to upset her digestive system. She has now had Diarrhea for 4 days, her stool sample shows no abnormalities and after taking her to the vet she is being treated with medicine. On reading the list of ingredients on the bag of Purina I saw it contained something called ""ANIMAL DIGEST"". I thought ""what in the world could that be?"" On searching the Internet low and behold I discovered this web site.<br /><br />[...]<br /><br />which the following came from<br /><br />""Since the pet food recalls I'd like to believe we've all grown a little more aware of what we're feeding our beloved pets. In this blog I'd like to call your attention to an ingredient that is so common in many lower quality foods and dog treats. Animal Digest is often included in many commercial treats and bottom of the barrel dog foods. Be prepared to be grossed out when I explain to you what this product really is! According to AAFCO (The term AAFCO stands for the Association of American Feed Control Officials; they provide regulatory guidelines for the manufacturing of pet foods) standards, Animal Digest is<br /><br />""Animal Digest - material which results from chemical and/or enzymatic hydrolysis of clean and un-decomposed animal tissue. The animal tissues used shall be exclusive of hair, horns, teeth, hooves and feathers, except in such trace amounts as might occur unavoidably in good factory practice and shall be suitable for animal feed.""<br /><br />Yuck!<br /><br />Another expert has described Animal Digest as ""a cooked-down broth which can be made from unspecified parts of unspecified animals."" The animals can be collected from almost any source. There is no control set in place over quality or contamination. Any kind of animal can be included: ""4-D animals"" (dead, diseased, disabled, or dying before slaughter), goats, pigs, sheep, horses, rats, euthanized at animal shelters, restaurant and supermarket waste, road kill, etc.<br />That is about as gross as it gets.<br /><br />Please read your bags carefully and choose treats with ingredients that you can pronounce and understand.""<br /><br />After reading this I tossed the Purina in the trash and opened the bag of Castor & Pollux. Once again an intelligent, Professional, trained person just accepted the word of an authoritative institution i.e. the ""AAFCO"" as FACT and has no doubt along with untold numbers of others in her profession recommended it to her clients to put in their pets bodies.<br /><br />This is perhaps the microcosm to the macrocosm that is today's America. We-the-People have just taken the word of all our institutions and so called leaders unquestioningly. Look where it has gotten us! I may not be able to change that unfortunate fact of human nature but I can change Joy's nutritional intake and have despite the increased cost. Sometimes you do get what you pay for. I highly recommend Amazon.com but do your dogs a favor and buy the Castor & Pollux for them or some other quality brand instead of one containing ""Animal Digest""",2
"1/4 cup muesli plus 1/2 to 2/3 cup any flavor Kefir and 1 T. Salba, stir and let sit for 30 or more min, and eat with 1/4 to 1/2 cup fresh fruit mixed in; breakfast at its best. Digestive problems solved after all these years, but it took a few months on this regimen. Have faith and stick with it. You'll be soooooooo glad you did.",5
"Walmart has it for 2.50. This has no heat what so ever, very little flavor. Will go back to tabasco sauce.",1
"Cheesy potatoes.  I didn't taste anything but the same orange cheese everyone knows from boxed dinners.  It says it has other cheeses, but I couldn't tell.  They are okay.  My family liked them more then I did.",4
"As a general rule I gravitate toward heavy bodied, dark coffees but rules are made to be broken. From time to time even I bring home a medium blend to break things up. I was quite excited to give Marley Coffee a try but found that a name can't make up for a yucky cup.<br /><br />As lovely as the idea behind this particular line of coffees is I found it lacked the body I look for in a cup of coffee. That said the taste was so pleasant and delicate I actually tossed a couple of the pods into my tea pot and used them like tea bags. The result was actually delicious but far more tea-like than I would pay for in a coffee pod.<br /><br />If you enjoy lighter roasts or prefer tea I would definitely recommend the One Love Organic Coffee pods. Otherwise I would suggest a pass.",2
"Usually, I'm a fan of a very deep, dark roasted coffee, with a full-bodied, smooth flavor. This coffee is a very deep flavored mild bodied coffee. I'm usually not a fan of mild coffees but, this is one that I like to drink at night if I want a cup.<br /><br />These are individual pods, for making one cup of coffee. I like the handyness of just grabbing one to take to work to use in my single cup drip coffee maker.<br /><br />Overall, I'd recommend this coffee for anyone that likes a deep flavored coffee. Though, if you like a deep roasted coffee, such as a French roast you might think this one is a bit too weak for your morning java.",4
"I did a lot of research and decided to buy this food for my 4-year-old cat. I had been feeding him Royal Canin but he got fat, so I was hoping this food--without fattening grains--would help with that. (Side note: I only feed him a little bit at a time, he doesn't eat that much. But he still got fat.) When I got this and mixed it in with his old food, he didn't eat it at all, or even consider it. I'm not sure if it's because it's new, or because the kibble size is very small. It falls out of his mouth. Also, compared to the other food, it doesn't not smell very attractive (to a cat, I assume). I can barely smell it at all. While I like that, my cat doesn't seem to think it's food. He did eat some last night, but he still meows at me for the other food when I try to give this to him. He picks out his old food if I mix the two. If only they could make it smell better somehow while keeping out bad ingredients, and make an adult version (bigger kibble size), then I think this would be the best food (based on ingredients).",3
I first tasted this dressing when brought back from Japan by a friend.  I have looked everywhere and it can only be found on Amazon.  It really is the best tasting dressing I have had.. By far.,5
"We bought this coffee based on all the hype (Food & Wine Magazine, ""handcrafted"" , ""Estate"" , etc)  but as serious coffee drinkers, we didn't feel this was worth the high price (especially when shipping is added). It had a pleasant, full bodied taste, but so do a lot of other, more easily available and less expensive coffees.<br /><br />Starbucks for example,  has enough different varieties of coffee where you'll find one blend very similar if not as good (or better) tasting than the much lauded Kona........just our $0.02",3
Much bigger box and bang for the buck.  I will purchase again. This is a great treat that the pups enjoy.,5
I have searched every grocery market in a fifteen mile radius and cannot find this mix.  My mom gave me a stellar Chicken Wild Rice Soup recipe and there is no substitute for Mahatma rice!  The microwave directions are easy to follow and produce a non-microwave tasting rice.  Thank you!!!,5
"Shortly after I wrote my first review I received a phone call from D.J. at E-Pets Galore.  We had, what I thought, was a very pleasant conversation.  She apologized that I did not receive the correct items I had ordered.  D.J. told me that I would receive the items I had originally ordered at the latest by the end of the following week after our conversation.  She explained to me that it would not be worth it to send back the items I received in error.  I told her I would donate them to a local Animal Rescue compliments of E-Pets Galore.  Which I did.  I was very happy that D.J. had taken the time to contact me.  Our conversation had gone so well that I had decided I would do business with E Pets Galore in the future. I trusted her words.  I told D.J. that I would edit my orignal review at amazon once I received the correct items.<br /><br />It is now 2 1/2 weeks later and I still have not received the items that I had originally ordered and that D.J said I would receive by at the latest the end of last week, April 3, 2009.  I have left two messages for her and have not received a return call.<br /><br />Since I have already donated the 25 items to a local Animal Rescue, based on trusting and believing what D.J. said, I have financially lost $91.49.  The one positive from this awful experience with E-Pets Galore, is that some Animals in need will have some treats that otherwise they would not have had.<br /><br />I am very sad that this experience has turned out this way,<br />Fran B.",1
Received my order in a couple days.  The bamboo stalks were packaged well and were in good shape.  I was worried about ordering plants but was happy with how they arrived.  Would definitely order them again.,4
May be I expected too much but this is definitely processed chicken taste with a lot of salt - like canned chicken.  I have not tried any other brand but I suppose they are all the same.,2
"I bought a 6 oz jar of this conserve to try and liked it so much I almost ordered the six-pack deal Amazon has, which is very good, but then I saw this 48 - 1 oz pack and I like it a lot more because this way I can just have a serving as a treat every now and then without having an opened large jar taking space and aging away in my fridge.<br /><br />Real fruit taste and no food coloring or preservatives (no syrups, no processed sugar), just red raspberries, pomegranate, concentrated grape juice and fruit pectin.<br /><br />The texture of this delightful conserve is different from jam or marmalade, not as thick, more like between jelly and jam, and the flavor is fruitier. You can definitely taste the raspberries and pomegranate.<br /><br />A very good choice for those with a sweet tooth who don't want or can't eat highly processed sugars.<br /><br />Great product from France.<br /><br />The lil' jars are very useful for storing spices, individual salad dressing for the lunch box, etc., and also for non food things like beads, powders, and many other craft items.<br /><br />TIP: A few of these little jars in a cellophane bag with a nice ribbon make a lovely present.",5
"Two and a half years ago I was searching for unique, inexpensive stocking stuffer presents and I ordered these just because the label was attractive.  I was unexpectedly astonished by the superior qualities of these peanuts.<br /><br />I'm going into my third year of ordering these peanuts for myself and hubby.  I've tried other brands of Virginia Peanuts (Virginia peanuts being the most tasty of the different types of peanuts), and what I love about The Peanut Shop brand is that when they say ""lightly salted"" they truly are lightly salted. The ingredients are: Super Extra Large Virginia Peanuts, Peanut Oil, and Sea Salt.<br /><br />They taste perfectly roasted, neither undercooked nor overcooked.  And you don't get that sea salt brine aftertaste like you get with edamame (boiled young soybeans and sea salt), because the peanut taste is rich and very faintly smoky.  Do a side by side comparison of Planters cocktail peanuts with these, and you will find that the Planters are not only an inferior peanut, but they taste burned and much too salty next to the Peanut Shop Virginia peanuts.  If you love peanuts and want to spoil yourself, then order these.",5
"I bought this for my dad because he likes green tea. And most K-cup packs come assorted so I found this. I think it a bit more per K-cup than buying an assortment but if you just want green tea then this is a good buy because thats all you get. I tried one just to see how it taste and it taste like a ordinary green tea if not a little better. You arn't gonna get a super high quality green tea but it taste all right. Also if you want to stretch your money then you can do what I do and use the K-cup multiple times for a slightly lighter green tea, since it contains the leaves.",4
"My daughter follows the SCD diet for Crohn's disease.  Introducing baked goods and ""breading"" makes the diet much more manageable.  I have used it for SCD legal recipes including cookies, bread, almond milk, and breaded chicken.  All turned out very tasty and baked up very well.  It is a very fine powder and works like flour.  This site is the best price I have found.  As a note, I store mine in freezer or refrigerator to preserve freshness for a multi-week period.<br />Word to Amazon:  I agree with another user.  Selling this in 4 or 5 pound quantities would make it a better option for people who rely on this product for good health.  Purchasing 2 pound quantities just does not cut it.",5
"My 17 month old boy loves these, I don't give him as much of these as I used to since he is now into table food more than purees, but I would mix half of this in his oatmeal in the morning or if we are out, I'll use these as a snack or dessert. They are a good handy pouch to throw in your diaper bag and can sit there for days, if not weeks! I love all the ingredients in this one, baby seems to enjoy it too!",5
"I've had a lot of brownies, both from mixes and homemade and I think these may be the best brownies I've ever had. The chocolate chips melt and create little pockets of amazing. They're perfectly chewy, high quality chocolate, and just the right amount of sweet. Absolutely amazing.",5
Found this in aMiddle Eastern grocery store in Philadelphia.  The flavor is superb. I'm Italian and I know olive oil....this is delicious and adds to every dish I use it in. Best I've ever had.,5
This is a poor excuse for a gopher trap. I have lots of gophers and have used other traps. I recently bought 8 (four sets) of these traps. They are ill designed. The gophers are able to trip them without getting caught and have even managed to push the set trap out of the hole. The problem is the sweep of the pincers is too wide and the mechanism too easily clogged with sand or dirt. Don't bother with these traps.,1
"Well, unlike some of the reviewers here I know granola.<br />Good granola is hard to come by, it is even hard to make it so that it still tastes good the next day, because it requires freshness, high ratio of quality non-oat ingredients, small baking batch size, large oat size and flavor/texture variety.<br /><br />I hesitate to give this granola the accolades it deserves because I worry it will go the deplorable way of Be*r N*ked.<br /><br />I can safely say I have tried all the granola in all the stores on both West and East coasts and this Dr Flynn's Granola is probably the smartest and one of the best, up there with some of the small bakeries who make their own daily.<br /><br />How does Dr. Flynn do it, in a packaged granola from Amazon?<br />This granola is generous to a fault and has an opinion, called oily cassia.<br />Organic Saigon Cassia is not the dry cinnamon you get at the grocery store.<br /><br />Most granola is baked too fast, stingy with the good stuff and substitutes sugar for flavor, but not Dr. Flynn's Organic Granola.<br /><br />The high quality cassia cinnamon in this granola has a mind altering sweetness to it that regular stick cinnamon does not. Which means that Dr Flynn can use less sugar while giving more sweetness, and not only that, but instead of filler oats pumped full of cheap sugar, she loads it up with protein-rich pecans, almonds, cashews and coconut, wow!<br /><br />The prize goes to the cassia she found, which has more of the aromatic oils that coat and mingle gloriously well with the nutty roasty flavors in granola. It is like a healthy version of MSG, that transforms familiar flavors into the state they usually only achieve while baking. Just smell this granola, it is like opening the oven when you are baking cookies!<br /><br />Cassia also has some controversial and astonishing health effects such as a blood sugar regulating ability and anticoagulant properties.<br />With so many people suffering from blood sugar and heart disease related issues this granola, used in moderation, seems like it might be both a dangerously delicious and potentially live saving way to start the day.",5
I've asked for this flavor in three local groceries...no luck!  It's delicious...best hot after steeping for a full 5 minutes.  Thanks!,4
"I am a vegetarian, but I strive to be as vegan as possible everyday, but thus far that has proved to be way more difficult than just being vegetarian...for me at least.<br />I was really nervous to try this due to the taste some of these shakes can have. Let's face it: They are usually disgusting. Some people can handle it NO PROBLEM. Others struggle with getting it down. Some of the healthiest things to eat or drink or not always the tastiest. LOL<br /><br />Let me just start by saying that this smoothie doesn't even SMELL bad.<br />It holds true to its Tropical Citrus title & it really smells amazing.<br />I mixed 2 tablespoons with 1 cup of Silk Vanilla Almond milk & just used the spoon to mix it up.<br />It was DELICIOUS. I could not believe it.<br />It was a little bit chunky, but very small chunks. I swirled it as I went & even the small chunks I drank didn't taste bad or gritty. Just dissolved in my mouth. I think I will invest in a thermos type thing to shake it in for next time, but it isn't necessary.<br />I will be using this probably once a day, preferably in the morning, just as a drink, not a meal replacement.<br /><br />If you are skeptical, just give it a try! It really is SO delicious. & it is truly a great addition to a healthy diet! PLUS VEGAN! AND 65% RAW!",5
"Recently I attended a conference in California where smoked salmon was served as part of the breakfast buffet.  It was heavenly, and I decided to incorporate it as part of my breakfast routine.  I bought a fillet at my local grocery chain and enjoyed it greatly, but looked on Amazon for a more cost-effective approach.  This salmon is from a reputable company, but I have to say I really don't like it, compared both to the smoked salmon I had in California and from my local grocery.  It comes in a broth, and at first feels a little soft when I open the pack, but then when I eat it without the brine, it is actually quite dry.  The smoked flavor is even a little too light for my taste. Truly, I have never cared for sockeye; I've always found it dry even when not smoked, and I pay the extra for king when buying my fresh salmon. I notice other reviewers put this salmon in dips and chowders; I think that is a good solution, but I will cancel my subscription and buy smoked salmon locally for now.",2
My dog just loves this food and its a very very good canned dog food.  I will continue to purchase this product!,5
"I was a little disappointed with this particular offering from the usually wonderful Starbucks line. When I first opened the package, the smell was wonderful, but not the vanilla I was expecting - more like some other spice.<br /><br />Then when I brewed this coffee, same thing...not the vanilla I was expceting. I know Starbucks is known for its French Roast coffee, but I think the darkness of that roast overpowers the vanilla. It would have been better in a medium roast blend.<br /><br />Not a bad coffee, just not what I was hoping for.",3
"This coffee really has more of a vanilla scent than a vanilla taste. Adding a little vanilla flavoring to the pot gave it a more satisfying vanilla flavor. I was surprised to see that it is 100% Arabica beans as it is also a little bitter despite being a medium roast.<br /><br />Overall, a decent but not exciting cup of coffee without any chemical or artificial taste that flavored coffees sometimes have.<br /><br />Note that this product is not whole coffee beans but rather is already milled to what is called a ""universal grind"" which is intended for drip coffee makers.<br /><br />It seems like a long time ago that a pound of coffee was 16 oz. but I suppose that this 11 oz. ""one pound"" bag is appropriate company for those 64 oz. ""five pound"" bags of sugar and those 59 oz. ""half-gallons"" of orange juice that I have been seeing at the grocery store lately.<br /><br />I predict that 10 eggs will be sold as a ""dozen"" before long.",3
"Right when you open this bag of coffee the amazing vanilla bean smell hits you and you think, ""Man, this is gonna be a great cup of coffe!""<br />It smells like very fine whole vanilla beans that you've just split open. Unfortunately, that wonderful smell doesn't transfer to the actual cup of brewed coffee. (For full disclosure, I use a Cuisineart Auto drip) Once in your cup, the vanilla bean taste is way muted and kind of acidic.<br />On the plus side, this coffee comes ground fine, which I like. I wouldn't buy this again.",2
"Tea that at the time of blending was most likely good; but by the time you get it, it will be old; not much flavor.",2
"These cinnamon thin cookies looked appealing in the package so I bought some.  I didn't buy them because they were gluten-free, I just like anything that TASTES GOOD, whether it's low-fat, fattening, gluten-free, low carb, etc. and they ARE really good and surprisingly satisfying for being gluten-free.  Make sure that if you eat them while having coffee that you ""dunk"" quick (if you like to dunk your cookies).  I order 5 or 6 boxes at a time and will continue to in the future because now they are a favorite that I eat practically every day.",5
"This seller consistently provides high quality edibles for very reasonable prices, and this Fleur de Sel is no exception.  Extremely tasty, well packaged, and timely delivery.",5
"I don't need to say much more, these are good. Not really hot like you might assume given that it's jalapeno flavor. They just have a slight kick.",5
its the king of beer. i do prefer the canned bud but bottles are ok. i can drink about 13 cans of budweiser without heaving my guts out which is more then i can say for its competitor. there labeling is beautiful and there advertisements are  near perfection.,5
"The ingredients are ""water, cane sugar, green tea infusion, aloe vera, citric acid, natural flavors (passion fruit)"". As you probably know, the order of ingredients on these labels indicate the relative amount of each ingredient, and one sip of this will show you why sugar is the second ingredient listed: it's TOO SWEET! It's like taking a mouthful of very very sugary ice tea. I tend to prefer unsweetened ice tea so I can sweeten it myself to taste, or if it comes pre-sweetened at least it should be a small amount. This stuff is just pure sugar. Unless you have a very sweet tooth, this will probably be a problem.<br />On the plus side, the ""aloe vera"" part of the drink actually means there's actual aloe vera pulp in the tea. This may come as a surprise if you're not expecting it - and if you don't like things like high pulp OJ this is really not going to be the beverage for you. However, aloe is really good for you, and the actual pulp is the best way to get the benefits. If only they've been a little less heavy-handed with the sugar, this might have been an enjoyable drink, but I just can't get over the sweetness so this is one product I won't be buying.",2
I stopped buying this product after I realized it was made in china. My jack russel threw up a few times and I couldn't figure out why until I read the government warning about made in china chicken jerkey. I would warn anyone to stay away from this.,1
"This gluten free delight is soft, chewy and has intense ginger-molasses flavor. I threw out all my other gluten-free cookies, and am only eating WOW products.  They are all good, but this one is exceptional.",5
"My Beagles are very picky about their chews. I'm very picky about what chews I give them. No pig's ears for MY girls! I was looking for a happy compromise-a chew they would love, but one that would have some beneficial properties for their teeth & gums, as they seem to need to get their teeth cleaned often.<br />These chews have made a viable difference-their gums are much less red, and their teeth seem to stay tartar free longer.They last longer than other chews as well. What more can you ask for?",5
"We were looking for an appitizing dog food for our finniky Pembroke Welsh Corgi.  Unfortunately, this was not it.  Otherwise, we see nothing negative about this product.",2
You can buy this bread directly from Udi's for a lot cheaper. The Bread is great but not at this price.,1
Tootsie rolls are Gootsie rolls.  I ate the whole bag while watching the Broncos beat the J-E-T-S......don't know what I enjoyed more. Both were great!,4
This is a delicious mild variety of coffee. Not overly strong like most of Starbucks coffees. I order this one repeatedly.,5
"Nutiva Organic Coconut Manna, 15-Ounce (Pack of 2)<br />  My kids and I were divided on taste. In my opinion, the taste is on the flat or bland side with a gritty texture. I expected a burst of coconut flavor and I didn't get that at all.<br />The directions are to melt in hot water to ensure spread-ability. This was a pain in that you can't just open the jar and use the product.<br />My kids spread it on brownies and Oreo's and they loved it. I added some in a batch of pancakes which I thought was tasty and quite different.<br />Overall, I would try something else for more flavor but I think this is a quality product nonetheless and my kids really like it.",3
"Was really skeptical about the claims but found I have more energy, better digestion and feel better in general.  I will be using this product for a long time.",5
"We have three cats, and they all love Petite Cuisane - every flavor. Every time we empty a can into their feeding tray, the cats fight like mad to get their chops on the tasty meal.<br /><br />My wife and I joke...we call it Professional Cat Wrestling. I highly recommend this product for cat owners.",5
"These are great snacks for traveling, such as, by airplane or car.  The cookie comes in the shape of a small cracker.  The cracker is less messy than a cookie which can break apart and crumble; and for this reason a preferred treat.<br /><br />The texture is comparable to a medium crunchy chip and very light to eat.  The first response by most people when eating the cracker for the first time is, ""Humm these are good!""  This is a pleasant response and these crackers will probably be a big success over time.",5
I have very please to find this item and be able to purchase it. I have not been able to find it in any store in a while. It is my favorite Crystal Light drink.,5
well got my adenium today it is in great shape and got here fast can't wait to see it bloom a definate five star,5
"I am probably not the best reviewer - I love dark roasts.  <a href=""http://www.amazon.com/gp/product/B001CHFSL6"">Diedrich Coffee, Dark French Roast, 24-Count K-Cups for Keurig Brewers (Pack of 2)</a> is usually my coffee of choice, but I'm trying to find a lighter roast I enjoy.  Darker roasts aren't healthy for you - they say light roasts are much better.  I won't give up yet, but this definitely isn't the one I can drink every day.  I found it bitter - a very odd taste.",1
"Do not buy product contain gelatin. Gelatin in baby food ??? Why gerber ???, Do not buy if you follow vegetarian or kosher/Halal regime.",1
Great coffee. Arrives when you folks say it is to be delivered.  Will continue to purchase 2 pack from Amazon when it is on sale. Very easy to place an order.,5
I purchased this in hopes that I could drink black coffee to cut the cream & sugar from my diet. It's fabulous!,5
"The coffee is smooth and very good, but I would expect more vanilla flavor from coffee that is labeled as such. It's a very light vanilla taste that I think should be amped up a little bit more! Regardless, it's still good coffee.",4
"I'm not sure exactly why I thought I'd like this Starbucks Natural Fusions Vanilla Flavored Ground Coffee, since I usually find Starbucks coffee not to my taste. The ground coffee has a nice vanilla smell while it's still in the bag but my first sip was a huge disappointment--it tasted decidedly harsh. I tried brewing it stronger and weaker; still harsh, almost acidic. The only thing that made it drinkable was adding quite a bit of sugar, and I really don't care for my coffee that way.<br /><br />The ingredient list claims ""ground vanilla beans,"" which I wouldn't expect to have a harsh acidic taste. Vanilla is the second most expensive spice in the world (after saffron) and grinding the beans is known to be a good way of dispersing the flavor through hot liquids. How can it have gone so wrong in this product? Is it the coffee itself that's so unappetizing, or the combination? I just don't know.<br /><br />From now on I'll look for vanilla in baked goods and body lotion, and keep it out of my coffee. Sorry, Starbucks, I'm not a fan of this brew.<br /><br />Two stars, not really for the coffee but to encourage Starbucks to do better with recycling and other green issues, and to increase fair trade initiatives.<br /><br />Linda Bulger, 2010",2
